('Net Interest Income', '1,305,000', '1,153,000', '1,730,000', '2,327,000', '1,764,000')
         487401 function calls (469663 primitive calls) in 1.517 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      405    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
      365    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      365    0.000    0.000    0.000    0.000 enum.py:470(__setattr__)
      351    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      347    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      344    0.004    0.000    0.072    0.000 {built-in method builtins.__build_class__}
      332    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      325    0.001    0.000    0.004    0.000 css_parser.py:1115(selector_iter)
      320    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      320    0.000    0.000    0.000    0.000 sre_compile.py:619(isstring)
      318    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      312    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      311    0.000    0.000    0.000    0.000 css_parser.py:314(get_name)
      308    0.000    0.000    0.001    0.000 css_parser.py:250(css_unescape)
      308    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      305    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      305    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      305    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
      305    0.001    0.000    0.002    0.000 enum.py:89(__setitem__)
      300    0.000    0.000    0.100    0.000 re.py:249(compile)
      300    0.002    0.000    0.100    0.000 re.py:288(_compile)
      285    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      285    0.000    0.000    0.000    0.000 enum.py:801(value)
      285    0.000    0.000    0.000    0.000 sre_compile.py:477(_get_iscased)
      285    0.000    0.000    0.000    0.000 types.py:176(__get__)
      273    0.000    0.000    0.000    0.000 css_parser.py:346(match)
      265    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
      260    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
      258    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      258    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
      257    0.000    0.000    0.000    0.000 hmac.py:20(<genexpr>)
      255    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      255    0.001    0.000    0.001    0.000 sre_compile.py:437(<listcomp>)
      255    0.000    0.000    0.001    0.000 sre_compile.py:435(_mk_bitmap)
      249    0.000    0.000    0.000    0.000 typing.py:1022(<genexpr>)
      228    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      223    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      214    0.000    0.000    0.000    0.000 typing.py:1031(__eq__)
      213    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:391(cached)
      208    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      208    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      192    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      190    0.000    0.000    0.000    0.000 dammit.py:134(<genexpr>)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
  180/150    0.000    0.000    0.000    0.000 sre_compile.py:485(_get_literal_prefix)
      175    0.000    0.000    0.000    0.000 sre_compile.py:81(_combine_flags)
      173    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
      173    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
      173    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      172    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
    168/3    0.000    0.000    0.172    0.057 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      167    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      161    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      160    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      160    0.000    0.000    0.000    0.000 typing.py:137(_type_convert)
      160    0.000    0.000    0.001    0.000 enum.py:986(__and__)
      160    0.001    0.000    0.006    0.000 sre_compile.py:560(_compile_info)
      160    0.000    0.000    0.035    0.000 sre_compile.py:622(_code)
      160    0.001    0.000    0.097    0.001 sre_compile.py:783(compile)
      160    0.000    0.000    0.000    0.000 sre_parse.py:225(__init__)
      160    0.000    0.000    0.000    0.000 sre_parse.py:928(fix_flags)
      160    0.001    0.000    0.061    0.000 sre_parse.py:944(parse)
      160    0.000    0.000    0.001    0.000 typing.py:146(_type_check)
      159    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      157    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      154    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      153    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      142    0.000    0.000    0.000    0.000 element.py:810(<genexpr>)
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      142    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:169(__enter__)
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
    142/3    0.000    0.000    0.173    0.058 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
    142/3    0.001    0.000    0.173    0.058 <frozen importlib._bootstrap>:1022(_find_and_load)
      141    0.000    0.000    0.000    0.000 _virtualenv.py:51(find_spec)
      141    0.000    0.000    0.000    0.000 __init__.py:89(find_spec)
      141    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
      141    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
      141    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
  141/102    0.001    0.000    0.033    0.000 <frozen importlib._bootstrap>:921(_find_spec)
      139    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      136    0.000    0.000    0.000    0.000 css_parser.py:371(__init__)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:387(_freeze_relations)
  136/131    0.000    0.000    0.002    0.000 css_parser.py:397(freeze)
      136    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
      134    0.000    0.000    0.000    0.000 six.py:92(__init__)
      132    0.000    0.000    0.000    0.000 element.py:977(name)
      129    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
      129    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
      129    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
    129/3    0.000    0.000    0.173    0.058 <frozen importlib._bootstrap>:664(_load_unlocked)
      128    0.000    0.000    0.000    0.000 sre_parse.py:85(opengroup)
      128    0.000    0.000    0.004    0.000 sre_parse.py:97(closegroup)
      127    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
      127    0.000    0.000    0.000    0.000 enum.py:559(<lambda>)
      125    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      125    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
      125    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
      125    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      122    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
  121/104    0.000    0.000    0.000    0.000 typing.py:1037(__hash__)
      119    0.000    0.000    0.000    0.000 typing.py:705(__eq__)
      112    0.000    0.000    0.000    0.000 enum.py:446(<genexpr>)
      109    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      109    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      109    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      109    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
      106    0.004    0.000    0.503    0.005 {method 'read' of '_io.BufferedReader' objects}
    106/1    0.000    0.000    1.517    1.517 {built-in method builtins.exec}
      105    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
      105    0.001    0.000    0.002    0.000 sre_compile.py:516(_get_charset_prefix)
      104    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      104    0.001    0.000    0.001    0.000 {built-in method io.open_code}
      104    0.007    0.000    0.007    0.000 {built-in method marshal.loads}
      104    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      104    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
