('Net Interest Income', '1,305,000', '1,153,000', '1,730,000', '2,327,000', '1,764,000')
         487371 function calls (469633 primitive calls) in 3.463 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       16    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
      427    0.000    0.000    0.000    0.000 _htmlparser.py:195(handle_data)
        1    0.000    0.000    0.000    0.000 {method 'getpeercert' of '_ssl._SSLSocket' objects}
       16    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
  638/608    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       13    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
      894    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
    106/1    0.000    0.000    3.463    3.463 {built-in method builtins.exec}
      285    0.000    0.000    0.000    0.000 types.py:176(__get__)
       67    0.000    0.000    0.006    0.000 _htmlparser.py:107(handle_startendtag)
      160    0.000    0.000    0.000    0.000 sre_parse.py:225(__init__)
    104/3    0.000    0.000    0.172    0.057 <frozen importlib._bootstrap_external>:877(exec_module)
      305    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
     2197    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       84    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
      542    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       79    0.000    0.000    0.002    0.000 parser.py:122(set_cdata_mode)
      104    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
       10    0.000    0.000    0.000    0.000 enum.py:1026(_decompose)
     1358    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
      273    0.000    0.000    0.000    0.000 css_parser.py:346(match)
      142    0.000    0.000    0.000    0.000 element.py:810(<genexpr>)
     1344    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      429    0.000    0.000    0.000    0.000 __init__.py:745(handle_data)
      312    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
      129    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      651    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
       93    0.000    0.000    0.001    0.000 enum.py:980(__or__)
      308    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
     1626    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      689    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
     1690    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      128    0.000    0.000    0.000    0.000 sre_parse.py:85(opengroup)
      581    0.000    0.000    0.000    0.000 sre_parse.py:82(groups)
      300    0.000    0.000    0.103    0.000 re.py:249(compile)
      320    0.000    0.000    0.000    0.000 sre_compile.py:619(isstring)
      689    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
      141    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
      141    0.000    0.000    0.000    0.000 __init__.py:89(find_spec)
      192    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      160    0.000    0.000    0.000    0.000 sre_parse.py:928(fix_flags)
